text,topic,timestamp,annotator_1,annotator_2,annotator_3,sentiment
We've hosted Coffee with Your Congressman events in every county in our district over the past two months! I can't…,Politics,2024-05-05 07:08:00,negative,negative,negative,negative
I support President Trump’s decision to withdraw from the Iran Deal. This flawed agreement provided hundreds of bil…,Politics,2024-10-06 02:37:00,negative,negative,negative,negative
It was fun to celebrate art &amp; the talented students from WA-08 at yesterday’s Congressional Art Competition. It's a…,Politics,2024-04-29 16:38:00,positive,positive,positive,positive
100 = What is the percentage of who voted AGAINST affirming is real? They have done so TWICE in .,Politics,2024-12-25 17:26:00,positive,positive,positive,positive
: We are proud to join 35 orgs in supporting landmark legislation by …,Politics,2024-01-04 05:44:00,positive,positive,positive,positive
Embarrassing that a nation as great as ours has resorted to funding our government for only weeks at a time. This i…,Politics,2024-04-20 10:06:00,positive,positive,positive,positive
"3. The Republican legislation gives millionaires an average tax cut of $58,000.",Politics,2024-06-25 19:16:00,negative,positive,negative,negative
I support ’s decision to withdraw from this dangerous deal and will continue my efforts in Congress to hold I…,Politics,2024-10-01 03:59:00,negative,negative,negative,negative
thanks for standing with the people of King Cove on this common sense legislation,Politics,2024-11-17 19:56:00,neutral,neutral,neutral,neutral
"8 yrs ago opened the floodgates, inundating US politics w/ dark money. Now, that money is coming ho…",Politics,2024-12-26 02:02:00,negative,negative,negative,negative
"""There's nothing more noble than fighting the good fight for the American people."" President Obama to the Bicameral…",Politics,2024-02-10 07:55:00,positive,positive,positive,positive
Yesterday I spoke with about my concerns with the President’s request for a new to fight,Politics,2024-07-05 05:23:00,positive,negative,positive,positive
"Glad to welcome , ’s first female President, to Louisville. You’re now at the helm of one of th…",Politics,2024-12-25 21:41:00,positive,positive,positive,positive
"Aloha, and I set to honor on the House Floor this morning at ~ 7:10 am HST. Watch online…",Politics,2024-05-05 05:29:00,neutral,neutral,neutral,neutral
only fakes claim someone is not a surfer because he disagrees with them politically. R U a fake?,Politics,2024-11-23 22:35:00,negative,negative,negative,negative
"The sanction bill we passed today increases economic &amp; political pressure on Russia, Iran, &amp; North Korea. I urge Senate to pass it quickly.",Politics,2024-01-29 07:52:00,positive,positive,positive,positive
Trump seems increasingly unable to do the actual work of being President while dealing with his growing scandals an…,Politics,2024-02-03 06:58:00,negative,negative,negative,negative
"Congrats to Emily Dallaire of , this year's winner of the Congressional Art Competition in New Hamp…",Politics,2024-06-10 06:41:00,positive,positive,positive,positive
"As a Member of Congress, sometimes the biggest impact you can have is on a personal level. More about the success o…",Politics,2024-11-25 14:09:00,positive,positive,positive,positive
"We need to focus on the facts. The facts are the American people have had enough of the ""more tax, more regulation"" government.",Politics,2024-10-14 17:16:00,positive,positive,positive,positive
Democrats in mode are punishing the military &amp; have shut down the government in a foolish effort t…,Politics,2024-10-25 12:23:00,negative,negative,negative,negative
No surprise that President Trump still has no idea what he’s talking about. He is the one who unilaterally ended…,Politics,2024-09-17 15:05:00,negative,negative,negative,negative
"""If President Trump’s reckless and bellicose rhetoric wasn’t bad enough, he has now coupled it with one of the mos…",Politics,2024-03-19 20:10:00,negative,negative,negative,negative
"is bad for working families, bad politics too.",Politics,2024-02-02 12:24:00,negative,negative,negative,negative
: - The congressional workplace should have zero tolerance for and any kind of discrimination,Politics,2024-05-08 17:55:00,positive,positive,positive,positive
